vehicle_id,cycle_count,avg_depth_of_discharge,avg_operating_temp_c,soh_percent
VEH-1015,0,0.82,36.4,100.0
VEH-1015,6,0.82,36.4,100.0
VEH-1015,12,0.82,36.4,100.0
VEH-1015,18,0.82,36.4,99.85
VEH-1015,24,0.82,36.4,99.88
VEH-1015,30,0.82,36.4,99.38
VEH-1015,36,0.82,36.4,99.4
VEH-1015,42,0.82,36.4,99.02
VEH-1015,48,0.82,36.4,99.5
VEH-1015,54,0.82,36.4,98.63
VEH-1015,60,0.82,36.4,99.21
VEH-1015,66,0.82,36.4,98.75
VEH-1015,72,0.82,36.4,99.12
VEH-1015,78,0.82,36.4,98.86
VEH-1015,84,0.82,36.4,99.12
VEH-1015,90,0.82,36.4,98.62
VEH-1015,96,0.82,36.4,97.7
VEH-1015,102,0.82,36.4,98.11
VEH-1015,108,0.82,36.4,97.61
VEH-1015,114,0.82,36.4,97.72
VEH-1015,120,0.82,36.4,98.32
VEH-1015,126,0.82,36.4,97.89
VEH-1015,132,0.82,36.4,97.31
VEH-1015,138,0.82,36.4,97.08
VEH-1015,144,0.82,36.4,97.33
VEH-1015,150,0.82,36.4,96.78
VEH-1015,156,0.82,36.4,96.85
VEH-1015,162,0.82,36.4,97.08
VEH-1015,168,0.82,36.4,97.25
VEH-1015,174,0.82,36.4,96.94
VEH-1015,180,0.82,36.4,95.81
VEH-1015,186,0.82,36.4,96.6
VEH-1015,192,0.82,36.4,96.4
VEH-1015,198,0.82,36.4,96.4
VEH-1015,204,0.82,36.4,96.7
VEH-1015,210,0.82,36.4,95.3
VEH-1015,216,0.82,36.4,95.69
VEH-1015,222,0.82,36.4,95.99
VEH-1015,228,0.82,36.4,95.11
VEH-1015,234,0.82,36.4,96.06
VEH-1015,240,0.82,36.4,95.55
VEH-1015,246,0.82,36.4,95.59
VEH-1015,252,0.82,36.4,94.98
VEH-1015,258,0.82,36.4,95.34
VEH-1015,264,0.82,36.4,95.31
VEH-1015,270,0.82,36.4,94.9
VEH-1015,276,0.82,36.4,94.78
VEH-1015,282,0.82,36.4,94.67
VEH-1015,288,0.82,36.4,94.15
VEH-1015,294,0.82,36.4,94.28
VEH-1015,300,0.82,36.4,94.16
VEH-1015,306,0.82,36.4,94.22
VEH-1015,312,0.82,36.4,94.32
VEH-1015,318,0.82,36.4,93.47
VEH-1015,324,0.82,36.4,93.68
VEH-1015,330,0.82,36.4,94.12
VEH-1015,336,0.82,36.4,93.22
VEH-1015,342,0.82,36.4,93.07
