cycle_count,avg_depth_of_discharge,avg_operating_temp_c,soh_percent
0,0.386,21.3,99.33
141,0.386,21.3,99.12
282,0.386,21.3,97.33
423,0.386,21.3,95.53
564,0.386,21.3,94.31
705,0.386,21.3,92.71
846,0.386,21.3,91.91
987,0.386,21.3,90.38
1128,0.386,21.3,88.04
1269,0.386,21.3,87.01
1410,0.386,21.3,85.34
1552,0.386,21.3,84.57
0,0.407,40.2,99.99
146,0.407,40.2,97.53
292,0.407,40.2,95.49
439,0.407,40.2,93.16
585,0.407,40.2,90.69
731,0.407,40.2,88.83
878,0.407,40.2,85.99
1024,0.407,40.2,83.27
1170,0.407,40.2,81.51
1317,0.407,40.2,78.58
1463,0.407,40.2,76.52
1610,0.407,40.2,74.01
0,0.493,43.0,100.0
151,0.493,43.0,96.9
302,0.493,43.0,94.63
453,0.493,43.0,92.21
605,0.493,43.0,88.99
756,0.493,43.0,86.85
907,0.493,43.0,83.28
1058,0.493,43.0,80.74
1210,0.493,43.0,77.73
1361,0.493,43.0,75.1
1512,0.493,43.0,71.9
1664,0.493,43.0,69.08
0,0.607,23.9,100.0
151,0.607,23.9,98.28
302,0.607,23.9,96.24
453,0.607,23.9,94.15
604,0.607,23.9,92.56
755,0.607,23.9,90.17
907,0.607,23.9,88.07
1058,0.607,23.9,86.14
1209,0.607,23.9,84.61
1360,0.607,23.9,81.44
1511,0.607,23.9,80.06
1663,0.607,23.9,76.99
0,0.689,40.0,100.0
68,0.689,40.0,98.61
136,0.689,40.0,97.54
205,0.689,40.0,96.11
273,0.689,40.0,94.59
341,0.689,40.0,93.41
410,0.689,40.0,92.19
478,0.689,40.0,90.48
546,0.689,40.0,89.08
615,0.689,40.0,87.47
683,0.689,40.0,86.67
752,0.689,40.0,85.3
0,0.692,35.8,100.0
92,0.692,35.8,98.64
184,0.692,35.8,97.01
276,0.692,35.8,95.23
369,0.692,35.8,93.39
461,0.692,35.8,92.65
553,0.692,35.8,90.01
645,0.692,35.8,88.21
738,0.692,35.8,86.84
830,0.692,35.8,85.03
922,0.692,35.8,82.7
1015,0.692,35.8,81.79
0,0.633,21.2,100.0
22,0.633,21.2,99.33
44,0.633,21.2,100.0
66,0.633,21.2,99.5
88,0.633,21.2,99.01
110,0.633,21.2,99.31
133,0.633,21.2,98.54
155,0.633,21.2,98.21
177,0.633,21.2,97.72
199,0.633,21.2,97.89
221,0.633,21.2,97.58
244,0.633,21.2,97.13
0,0.508,29.9,99.98
168,0.508,29.9,97.43
337,0.508,29.9,95.12
506,0.508,29.9,93.5
674,0.508,29.9,90.04
843,0.508,29.9,88.63
1012,0.508,29.9,85.97
1181,0.508,29.9,84.16
1349,0.508,29.9,81.08
1518,0.508,29.9,79.01
1687,0.508,29.9,76.16
1856,0.508,29.9,73.84
0,0.783,25.8,99.65
93,0.783,25.8,98.8
186,0.783,25.8,97.63
280,0.783,25.8,96.1
373,0.783,25.8,95.08
466,0.783,25.8,92.67
560,0.783,25.8,90.95
653,0.783,25.8,89.59
746,0.783,25.8,88.66
840,0.783,25.8,87.07
933,0.783,25.8,85.4
1027,0.783,25.8,83.42
0,0.788,20.4,100.0
37,0.788,20.4,100.0
75,0.788,20.4,99.2
113,0.788,20.4,98.78
150,0.788,20.4,97.91
188,0.788,20.4,96.94
226,0.788,20.4,96.84
264,0.788,20.4,96.15
301,0.788,20.4,95.51
339,0.788,20.4,96.09
377,0.788,20.4,95.06
415,0.788,20.4,94.56
0,0.594,27.8,99.99
90,0.594,27.8,99.06
181,0.594,27.8,97.58
272,0.594,27.8,96.28
363,0.594,27.8,94.63
454,0.594,27.8,93.14
544,0.594,27.8,92.45
635,0.594,27.8,91.25
726,0.594,27.8,89.45
817,0.594,27.8,88.56
908,0.594,27.8,87.25
999,0.594,27.8,85.13
0,0.485,31.9,100.0
123,0.485,31.9,98.05
246,0.485,31.9,96.85
369,0.485,31.9,95.45
493,0.485,31.9,93.62
616,0.485,31.9,91.56
739,0.485,31.9,89.66
862,0.485,31.9,87.81
986,0.485,31.9,86.38
1109,0.485,31.9,84.48
1232,0.485,31.9,82.81
1356,0.485,31.9,80.79
0,0.797,29.7,100.0
143,0.797,29.7,97.47
286,0.797,29.7,94.7
430,0.797,29.7,93.39
573,0.797,29.7,90.42
716,0.797,29.7,87.18
860,0.797,29.7,84.94
1003,0.797,29.7,82.86
1146,0.797,29.7,79.88
1290,0.797,29.7,77.14
1433,0.797,29.7,75.17
1577,0.797,29.7,71.63
0,0.506,30.5,100.0
161,0.506,30.5,98.14
323,0.506,30.5,96.09
484,0.506,30.5,93.61
646,0.506,30.5,91.42
807,0.506,30.5,88.86
969,0.506,30.5,86.63
1130,0.506,30.5,84.3
1292,0.506,30.5,81.96
1453,0.506,30.5,79.78
1615,0.506,30.5,77.29
1777,0.506,30.5,74.7
0,0.504,29.5,100.0
76,0.504,29.5,99.87
152,0.504,29.5,97.95
228,0.504,29.5,97.29
304,0.504,29.5,96.5
380,0.504,29.5,95.14
456,0.504,29.5,94.89
532,0.504,29.5,92.9
608,0.504,29.5,92.1
684,0.504,29.5,90.65
760,0.504,29.5,89.75
836,0.504,29.5,88.89
0,0.802,31.2,100.0
101,0.802,31.2,98.34
202,0.802,31.2,96.52
304,0.802,31.2,95.78
405,0.802,31.2,93.15
506,0.802,31.2,90.93
608,0.802,31.2,89.06
709,0.802,31.2,87.1
810,0.802,31.2,85.87
