mileage,vehicle_age,engine_hours,battery_health,maintenance_frequency,downtime,operating_conditions,failure
272979.9,119.9,7463.1,55.23,2,101.9,Normal,1
307434.2,56.9,7484.6,82.25,4,63.7,Severe,1
141684.0,92.0,5723.9,63.4,5,56.0,Normal,0
331525.7,99.1,9810.1,64.51,5,95.3,Normal,1
264645.3,80.4,8007.2,82.85,2,90.9,Normal,1
365967.8,83.5,14584.9,66.78,2,103.3,Extreme,1
83589.3,50.1,2837.1,84.37,5,25.1,Normal,0
147343.8,97.9,3503.3,65.62,6,56.6,Severe,1
167489.9,114.2,4162.2,60.49,4,85.5,Normal,1
226368.8,57.4,5665.2,88.02,1,61.9,Severe,0
225687.2,6.5,7229.9,90.37,4,31.4,Severe,0
403540.4,29.3,8810.2,83.29,2,75.0,Extreme,1
90260.6,91.5,2332.4,57.98,2,68.6,Normal,1
168911.3,114.7,5329.1,59.47,6,75.8,Severe,0
366660.2,115.0,11311.3,64.85,5,106.2,Severe,1
156716.6,117.8,4184.9,49.78,5,72.5,Extreme,1
238338.2,58.7,7076.8,74.25,3,59.3,Severe,0
125112.9,74.5,4666.6,70.9,5,42.4,Normal,0
67608.4,36.5,2174.9,88.59,3,26.2,Normal,0
63863.6,115.8,2652.6,61.04,2,88.1,Severe,1
252729.2,107.8,5231.6,57.89,3,95.7,Severe,1
22928.8,101.1,560.7,72.13,2,64.8,Normal,0
275221.1,15.9,7645.6,95.83,2,42.0,Extreme,0
340388.2,80.7,7230.3,63.79,3,85.4,Normal,1
119591.1,86.5,3146.2,67.43,6,50.0,Extreme,1
96978.2,92.0,2815.5,64.5,1,76.2,Extreme,1
262540.7,88.1,9133.1,64.41,4,69.9,Severe,1
406791.3,32.0,11109.2,89.67,1,70.6,Normal,1
237135.2,45.3,7429.9,79.35,2,58.5,Normal,0
186527.4,15.7,5984.5,88.57,1,36.7,Normal,1
237695.5,47.0,6477.7,87.25,5,56.5,Normal,0
422452.1,102.4,8985.1,64.18,3,117.6,Normal,1
384179.6,34.2,9766.6,90.03,4,69.1,Normal,0
87221.3,110.3,2476.4,65.46,6,59.1,Normal,0
238720.4,82.0,5306.1,72.92,6,61.5,Extreme,0
232536.3,16.4,6527.2,98.91,1,49.7,Severe,1
163366.6,18.1,4239.3,86.36,2,29.0,Normal,1
41170.8,61.0,1581.6,74.75,1,54.0,Severe,0
263432.1,63.3,5861.3,77.56,1,78.1,Severe,0
186753.6,102.3,5370.0,62.09,2,80.4,Severe,1
411022.6,19.9,11347.4,95.76,3,52.3,Severe,0
365909.6,82.6,8570.4,74.17,5,79.9,Normal,1
68105.0,58.3,1961.6,85.0,2,36.2,Severe,0
