battery_id,cycle_count,temperature,voltage,current,capacity,internal_resistance,soh,rul
B0001,1,31.6,3.74,2.0167,1.8661,0.0773,93.31,234
B0001,2,31.21,3.7278,1.995,1.8581,0.0725,92.9,233
B0001,3,31.25,3.7485,1.966,1.8795,0.0788,93.97,232
B0001,4,31.53,3.7241,2.0003,1.8661,0.077,93.31,231
B0001,5,31.51,3.7426,2.0026,1.8772,0.0805,93.86,230
B0001,6,31.62,3.7206,2.0265,1.8731,0.0813,93.66,229
B0001,7,32.04,3.7244,1.9818,1.8628,0.0849,93.14,228
B0001,8,31.91,3.7014,2.0603,1.8506,0.0837,92.53,227
B0001,9,31.62,3.7254,1.9567,1.8539,0.0833,92.69,226
B0001,10,31.06,3.6904,1.9187,1.8488,0.0836,92.44,225
B0001,11,32.39,3.7318,2.015,1.8444,0.0887,92.22,224
B0001,12,31.86,3.6866,2.0185,1.8649,0.092,93.24,223
B0001,13,32.29,3.7095,1.9956,1.866,0.0881,93.3,222
B0001,14,31.7,3.7042,1.9806,1.86,0.0899,93.0,221
B0001,15,32.84,3.6917,2.0325,1.8627,0.0936,93.14,220
B0001,16,31.63,3.7186,1.9705,1.8518,0.0943,92.59,219
B0001,17,32.07,3.7261,1.9752,1.8408,0.0905,92.04,218
B0001,18,32.42,3.6913,1.9737,1.8495,0.0947,92.47,217
B0001,19,32.51,3.6662,1.9866,1.8481,0.096,92.41,216
B0001,20,31.82,3.6546,1.9621,1.8461,0.0922,92.31,215
B0001,21,32.33,3.6592,2.0422,1.8316,0.1009,91.58,214
B0001,22,32.43,3.7134,2.0083,1.835,0.1036,91.75,213
B0001,23,32.53,3.6933,2.021,1.8401,0.0966,92.01,212
B0001,24,32.36,3.709,1.9869,1.8343,0.0938,91.71,211
B0001,25,32.62,3.6941,2.0049,1.8319,0.1022,91.6,210
B0001,26,32.26,3.6901,2.0243,1.8394,0.1017,91.97,209
B0001,27,32.78,3.6462,2.0019,1.8491,0.1007,92.46,208
B0001,28,32.6,3.6879,1.9773,1.8351,0.1025,91.76,207
B0001,29,32.31,3.6827,2.0074,1.8363,0.103,91.81,206
B0001,30,32.76,3.6569,2.0036,1.8243,0.1041,91.22,205
B0001,31,33.33,3.6248,1.9861,1.8268,0.1091,91.34,204
B0001,32,33.37,3.6691,1.9808,1.8135,0.107,90.68,203
B0001,33,32.3,3.6191,2.0135,1.8263,0.1054,91.32,202
B0001,34,33.51,3.6562,2.0041,1.8165,0.1111,90.82,201
B0001,35,33.63,3.6849,2.0243,1.813,0.111,90.65,200
B0001,36,33.14,3.6649,2.0303,1.8133,0.1101,90.67,199
B0001,37,32.51,3.6268,2.0413,1.7993,0.1081,89.96,198
B0001,38,32.8,3.66,2.0108,1.8072,0.1106,90.36,197
B0001,39,33.15,3.6727,1.9987,1.8142,0.1179,90.71,196
B0001,40,33.08,3.6313,1.985,1.8027,0.114,90.13,195
B0001,41,33.67,3.6294,2.0001,1.7955,0.1205,89.78,194
B0001,42,33.74,3.597,2.0235,1.8042,0.1232,90.21,193
B0001,43,33.45,3.6147,1.9671,1.81,0.1216,90.5,192
B0001,44,33.33,3.6054,2.0035,1.8144,0.1177,90.72,191
B0001,45,33.68,3.6361,1.9805,1.809,0.1254,90.45,190
B0001,46,33.47,3.6131,1.9588,1.7882,0.1218,89.41,189
B0001,47,33.27,3.6473,2.0236,1.7982,0.1249,89.91,188
B0001,48,33.37,3.6505,2.0452,1.7885,0.1226,89.42,187
B0001,49,33.89,3.5976,2.0086,1.7886,0.1254,89.43,186
B0001,50,33.62,3.5958,2.0232,1.7941,0.1334,89.7,185
B0001,51,33.62,3.5933,1.9711,1.8004,0.13,90.02,184
B0001,52,34.16,3.6165,2.0521,1.7767,0.1322,88.83,183
B0001,53,34.05,3.6102,2.029,1.8008,0.1343,90.04,182
B0001,54,34.12,3.5851,2.0549,1.786,0.1336,89.3,181
B0001,55,34.41,3.5952,1.9581,1.7861,0.1383,89.3,180
B0001,56,33.85,3.6461,1.9696,1.7862,0.133,89.31,179
B0001,57,33.89,3.571,1.9919,1.7669,0.1295,88.34,178
B0001,58,34.21,3.5913,2.0247,1.7757,0.1392,88.78,177
B0001,59,34.47,3.6035,1.9925,1.7777,0.1434,88.89,176
B0001,60,34.43,3.5947,2.0039,1.7636,0.1413,88.18,175
B0001,61,34.42,3.5755,2.01,1.7751,0.1381,88.75,174
B0001,62,34.64,3.5641,2.013,1.7884,0.1417,89.42,173
B0001,63,35.06,3.5387,1.976,1.7833,0.1445,89.17,172
B0001,64,34.48,3.5464,1.9968,1.7632,0.144,88.16,171
B0001,65,33.93,3.5825,1.9305,1.777,0.1446,88.85,170
B0001,66,34.46,3.5769,2.0,1.7641,0.1439,88.21,169
B0001,67,34.74,3.5634,1.9483,1.7618,0.1493,88.09,168
B0001,68,34.79,3.5735,2.0168,1.7631,0.1466,88.15,167
B0001,69,34.52,3.5986,2.0035,1.7601,0.1498,88.0,166
B0001,70,34.65,3.5772,2.0053,1.7697,0.1508,88.48,165
B0001,71,34.71,3.5679,2.0215,1.7479,0.1465,87.4,164
B0001,72,35.22,3.5842,2.022,1.7568,0.1537,87.84,163
B0001,73,34.36,3.5593,1.9276,1.7537,0.1497,87.69,162
B0001,74,34.57,3.5752,1.9697,1.7538,0.1535,87.69,161
B0001,75,34.58,3.54,2.0057,1.7508,0.155,87.54,160
B0001,76,34.44,3.5396,1.9557,1.7417,0.1539,87.09,159
B0001,77,34.94,3.566,1.9478,1.7525,0.1563,87.63,158
B0001,78,35.18,3.5112,1.9809,1.7403,0.1596,87.01,157
B0001,79,34.82,3.5658,2.0179,1.7314,0.1567,86.57,156
B0001,80,35.39,3.5308,2.0849,1.7604,0.1582,88.02,155
B0001,81,34.89,3.5623,1.9514,1.7411,0.1598,87.05,154
B0001,82,35.66,3.5748,1.9849,1.7578,0.1646,87.89,153
B0001,83,35.18,3.5626,1.9968,1.7288,0.1597,86.44,152
B0001,84,34.96,3.545,2.0091,1.7255,0.161,86.28,151
B0001,85,35.09,3.5129,1.9717,1.7268,0.1674,86.34,150
B0001,86,35.64,3.5179,2.0227,1.7374,0.1653,86.87,149
B0001,87,35.75,3.5368,2.0215,1.7386,0.1735,86.93,148
